path,size_x,size_y
C:/Users/jonas.freiburg/Documents/Niveau3/imagerie/traitement_image/projet/ledebruiteur/images/inline_skate/image_0001.jpg,300,257
C:/Users/jonas.freiburg/Documents/Niveau3/imagerie/traitement_image/projet/ledebruiteur/images/inline_skate/image_0002.jpg,288,300
C:/Users/jonas.freiburg/Documents/Niveau3/imagerie/traitement_image/projet/ledebruiteur/images/inline_skate/image_0003.jpg,291,300
C:/Users/jonas.freiburg/Documents/Niveau3/imagerie/traitement_image/projet/ledebruiteur/images/inline_skate/image_0004.jpg,300,274
C:/Users/jonas.freiburg/Documents/Niveau3/imagerie/traitement_image/projet/ledebruiteur/images/inline_skate/image_0005.jpg,300,300
C:/Users/jonas.freiburg/Documents/Niveau3/imagerie/traitement_image/projet/ledebruiteur/images/inline_skate/image_0006.jpg,300,286
C:/Users/jonas.freiburg/Documents/Niveau3/imagerie/traitement_image/projet/ledebruiteur/images/inline_skate/image_0007.jpg,300,300
C:/Users/jonas.freiburg/Documents/Niveau3/imagerie/traitement_image/projet/ledebruiteur/images/inline_skate/image_0008.jpg,300,250
C:/Users/jonas.freiburg/Documents/Niveau3/imagerie/traitement_image/projet/ledebruiteur/images/inline_skate/image_0009.jpg,300,225
C:/Users/jonas.freiburg/Documents/Niveau3/imagerie/traitement_image/projet/ledebruiteur/images/inline_skate/image_0010.jpg,300,277
C:/Users/jonas.freiburg/Documents/Niveau3/imagerie/traitement_image/projet/ledebruiteur/images/inline_skate/image_0011.jpg,300,300
C:/Users/jonas.freiburg/Documents/Niveau3/imagerie/traitement_image/projet/ledebruiteur/images/inline_skate/image_0012.jpg,300,300
C:/Users/jonas.freiburg/Documents/Niveau3/imagerie/traitement_image/projet/ledebruiteur/images/inline_skate/image_0013.jpg,300,300
C:/Users/jonas.freiburg/Documents/Niveau3/imagerie/traitement_image/projet/ledebruiteur/images/inline_skate/image_0014.jpg,300,300
C:/Users/jonas.freiburg/Documents/Niveau3/imagerie/traitement_image/projet/ledebruiteur/images/inline_skate/image_0015.jpg,300,300
C:/Users/jonas.freiburg/Documents/Niveau3/imagerie/traitement_image/projet/ledebruiteur/images/inline_skate/image_0016.jpg,300,300
C:/Users/jonas.freiburg/Documents/Niveau3/imagerie/traitement_image/projet/ledebruiteur/images/inline_skate/image_0017.jpg,300,300
C:/Users/jonas.freiburg/Documents/Niveau3/imagerie/traitement_image/projet/ledebruiteur/images/inline_skate/image_0018.jpg,300,300
C:/Users/jonas.freiburg/Documents/Niveau3/imagerie/traitement_image/projet/ledebruiteur/images/inline_skate/image_0019.jpg,276,300
C:/Users/jonas.freiburg/Documents/Niveau3/imagerie/traitement_image/projet/ledebruiteur/images/inline_skate/image_0020.jpg,300,245
C:/Users/jonas.freiburg/Documents/Niveau3/imagerie/traitement_image/projet/ledebruiteur/images/inline_skate/image_0021.jpg,289,300
C:/Users/jonas.freiburg/Documents/Niveau3/imagerie/traitement_image/projet/ledebruiteur/images/inline_skate/image_0022.jpg,300,251
C:/Users/jonas.freiburg/Documents/Niveau3/imagerie/traitement_image/projet/ledebruiteur/images/inline_skate/image_0023.jpg,234,300
C:/Users/jonas.freiburg/Documents/Niveau3/imagerie/traitement_image/projet/ledebruiteur/images/inline_skate/image_0024.jpg,300,225
C:/Users/jonas.freiburg/Documents/Niveau3/imagerie/traitement_image/projet/ledebruiteur/images/inline_skate/image_0025.jpg,300,162
C:/Users/jonas.freiburg/Documents/Niveau3/imagerie/traitement_image/projet/ledebruiteur/images/inline_skate/image_0026.jpg,300,243
C:/Users/jonas.freiburg/Documents/Niveau3/imagerie/traitement_image/projet/ledebruiteur/images/inline_skate/image_0027.jpg,262,300
C:/Users/jonas.freiburg/Documents/Niveau3/imagerie/traitement_image/projet/ledebruiteur/images/inline_skate/image_0028.jpg,278,300
C:/Users/jonas.freiburg/Documents/Niveau3/imagerie/traitement_image/projet/ledebruiteur/images/inline_skate/image_0029.jpg,300,300
C:/Users/jonas.freiburg/Documents/Niveau3/imagerie/traitement_image/projet/ledebruiteur/images/inline_skate/image_0030.jpg,252,300
C:/Users/jonas.freiburg/Documents/Niveau3/imagerie/traitement_image/projet/ledebruiteur/images/inline_skate/image_0031.jpg,243,300
C:/Users/jonas.freiburg/Documents/Niveau3/imagerie/traitement_image/projet/ledebruiteur/images/tick/image_0001.jpg,267,300
C:/Users/jonas.freiburg/Documents/Niveau3/imagerie/traitement_image/projet/ledebruiteur/images/tick/image_0002.jpg,240,300
C:/Users/jonas.freiburg/Documents/Niveau3/imagerie/traitement_image/projet/ledebruiteur/images/tick/image_0003.jpg,300,264
C:/Users/jonas.freiburg/Documents/Niveau3/imagerie/traitement_image/projet/ledebruiteur/images/tick/image_0004.jpg,295,300
C:/Users/jonas.freiburg/Documents/Niveau3/imagerie/traitement_image/projet/ledebruiteur/images/tick/image_0005.jpg,300,232
C:/Users/jonas.freiburg/Documents/Niveau3/imagerie/traitement_image/projet/ledebruiteur/images/tick/image_0006.jpg,247,300
C:/Users/jonas.freiburg/Documents/Niveau3/imagerie/traitement_image/projet/ledebruiteur/images/tick/image_0007.jpg,235,300
C:/Users/jonas.freiburg/Documents/Niveau3/imagerie/traitement_image/projet/ledebruiteur/images/tick/image_0008.jpg,251,300
C:/Users/jonas.freiburg/Documents/Niveau3/imagerie/traitement_image/projet/ledebruiteur/images/tick/image_0009.jpg,300,223
C:/Users/jonas.freiburg/Documents/Niveau3/imagerie/traitement_image/projet/ledebruiteur/images/tick/image_0010.jpg,300,244
C:/Users/jonas.freiburg/Documents/Niveau3/imagerie/traitement_image/projet/ledebruiteur/images/tick/image_0011.jpg,255,300
C:/Users/jonas.freiburg/Documents/Niveau3/imagerie/traitement_image/projet/ledebruiteur/images/tick/image_0012.jpg,280,300
C:/Users/jonas.freiburg/Documents/Niveau3/imagerie/traitement_image/projet/ledebruiteur/images/tick/image_0013.jpg,300,259
C:/Users/jonas.freiburg/Documents/Niveau3/imagerie/traitement_image/projet/ledebruiteur/images/tick/image_0014.jpg,235,300
C:/Users/jonas.freiburg/Documents/Niveau3/imagerie/traitement_image/projet/ledebruiteur/images/tick/image_0015.jpg,300,285
C:/Users/jonas.freiburg/Documents/Niveau3/imagerie/traitement_image/projet/ledebruiteur/images/tick/image_0016.jpg,233,300
C:/Users/jonas.freiburg/Documents/Niveau3/imagerie/traitement_image/projet/ledebruiteur/images/tick/image_0017.jpg,262,300
